School_name,Longitude,Latitude,Cluster
Ivanhoe Central School,144.300978,-32.898531,3
Molong Central School,148.86389,-33.098011,1
Bowral High School,150.423432,-34.488816,1
Moss Vale High School,150.385294,-34.551483,1
Warilla High School,150.857991,-34.563813,1
Peak Hill Central School,148.192111,-32.728855,3
Portland Central School,149.979653,-33.354772,3
Trangie Central School,147.979305,-32.032544,3
Bombala High School,149.231927,-36.917647,1
Eden Marine High School,149.90731,-37.055009,1
Tullamore Central School,147.565993,-32.636788,1
Ulladulla High School,150.47024,-35.35821,1
Keira High School,150.88651,-34.405282,1
Albion Park High School,150.773359,-34.576702,1
Wilcannia Central School,143.37591,-31.558478,3
Yeoval Central School,148.649673,-32.754375,1
Bulli High School,150.921143,-34.337247,0
Dubbo School of Distance Education,148.638967,-32.242937,1
"Denison College of Secondary Education, Bathurst High Campus",149.569679,-33.413383,1
Broken Hill High School,141.456986,-31.960105,1
Orange High School,149.084361,-33.280352,1
Parkes High School,148.180256,-33.138824,1
Cowra High School,148.688347,-33.814136,1
The Henry Lawson High School,148.163449,-33.902722,1
Condobolin High School,147.143195,-33.091828,3
Coonabarabran High School,149.285117,-31.283104,1
Canobolas Rural Technology High School,149.121741,-33.291759,3
Coonamble High School,148.391351,-30.955763,3
Walgett Community College - High School,148.118967,-30.027113,3
Willyama High School,141.473022,-31.936552,1
Coomealla High School,142.060295,-34.09598,3
"Denison College of Secondary Education, Kelso High Campus",149.61444,-33.410541,1
Canowindra High School,148.670951,-33.55892,1
Gulgong High School,149.540002,-32.360172,1
Oberon High School,149.861132,-33.701691,1
The Ponds High School,150.89764,-33.7033,0
Goodooga Central School,147.455532,-29.115865,3
Southern Cross School of Distance Education,153.5858174,-28.84975642,1
Gulargambone Central School,148.475758,-31.33224,3
Lindfield Learning Village,151.160509,-33.790062,0
Lightning Ridge Central School,147.978614,-29.425211,3
Mendooran Central School,149.122445,-31.818731,1
Menindee Central School,142.41329,-32.393368,3
Figtree High School,150.855197,-34.438352,1
Lake Illawarra High School,150.850426,-34.541828,1
Warren Central School,147.836503,-31.705114,3
Lithgow High School,150.166271,-33.485739,1
Mudgee High School,149.583627,-32.597793,1
Forbes High School,148.011352,-33.364596,1
Wellington High School,148.947815,-32.546677,3
Kandos High School,149.974588,-32.855738,1
Gilgandra High School,148.666529,-31.703431,1
Nyngan High School,147.188882,-31.561368,3
Bourke High School,145.948761,-30.091467,3
Cobar High School,145.827881,-31.501643,1
Blayney High School,149.251081,-33.531048,1
Narromine High School,148.242585,-32.229655,3
Cammeraygal High School,151.20304,-33.832162,0
Finigan School of Distance Education,149.221512,-35.354009,0
Armidale Secondary College,151.650348,-30.519371,1
Tottenham Central School,147.3521,-32.245635,1
Trundle Central School,147.709198,-32.925365,1
