School_code,School_name,Postcode,School_subtype,ICSEA_value,LBOTE_pct,Indigenous_pct,FOEI_Value,LGA,SA4,AECG_region,Local_health_district,Latitude,Longitude,Cluster
8567,Northern Beaches Secondary College Manly Campus,2099,Year 7 to Year 12,1212.0,55.0,1.0,0.0,Northern Beaches,Sydney - Northern Beaches,Metropolitan North,Northern Sydney,-33.762388,151.281355,0
8851,Northern Beaches Secondary College Balgowlah Boys Campus,2093,Year 7 to Year 12,1115.0,25.0,1.0,22.0,Northern Beaches,Sydney - Northern Beaches,Metropolitan North,Northern Sydney,-33.796405,151.254607,0
8120,Hornsby Girls High School,2077,Year 7 to Year 12,1202.0,91.0,0.0,0.0,Hornsby,Sydney - North Sydney and Hornsby,Metropolitan North,Northern Sydney,-33.706627,151.101083,0
8132,North Sydney Boys High School,2060,Year 7 to Year 12,1192.0,95.0,0.0,0.0,North Sydney,Sydney - North Sydney and Hornsby,Metropolitan North,Northern Sydney,-33.829336,151.207734,0
8133,North Sydney Girls High School,2065,Year 7 to Year 12,1197.0,93.0,0.0,0.0,North Sydney,Sydney - North Sydney and Hornsby,Metropolitan North,Northern Sydney,-33.830244,151.203447,0
8207,Hunters Hill High School,2110,Year 7 to Year 12,1093.0,38.0,2.0,33.0,Hunters Hill,Sydney - Ryde,Metropolitan North,Northern Sydney,-33.832696,151.148509,0
8208,Cheltenham Girls High School,2119,Year 7 to Year 12,1134.0,76.0,15.594132029339853,9.0,Hornsby,Sydney - Ryde,Metropolitan North,Northern Sydney,-33.75627,151.074096,0
8211,Normanhurst Boys High School,2076,Year 7 to Year 12,1193.0,89.0,15.594132029339853,0.0,Hornsby,Sydney - North Sydney and Hornsby,Metropolitan North,Northern Sydney,-33.721475,151.101466,0
8225,Marsden High School,2114,Year 7 to Year 12,1040.0,71.0,2.0,69.0,Ryde,Sydney - Ryde,Metropolitan North,Northern Sydney,-33.812981,151.092237,0
8232,Chatswood High School,2067,Year 7 to Year 12,1133.0,79.0,15.594132029339853,10.0,Willoughby,Sydney - North Sydney and Hornsby,Metropolitan North,Northern Sydney,-33.800013,151.175324,0
8243,Riverside Girls High School,2111,Year 7 to Year 12,1107.0,46.0,15.594132029339853,32.0,Hunters Hill,Sydney - Ryde,Metropolitan North,Northern Sydney,-33.840079,151.141467,0
8326,Mosman High School,2088,Year 7 to Year 12,1125.0,39.0,15.594132029339853,19.0,Mosman,Sydney - North Sydney and Hornsby,Metropolitan North,Northern Sydney,-33.829677,151.243425,0
8372,The Forest High School,2086,Year 7 to Year 12,1055.0,34.0,2.0,67.0,Northern Beaches,Sydney - Northern Beaches,Metropolitan North,Northern Sydney,-33.750298,151.2298,0
8379,Pittwater High School,2103,Year 7 to Year 12,1073.0,17.0,1.0,49.0,Northern Beaches,Sydney - Northern Beaches,Metropolitan North,Northern Sydney,-33.668259,151.302664,0
8382,Castle Hill High School,2154,Year 7 to Year 12,1117.0,62.0,15.594132029339853,19.0,The Hills,Sydney - Baulkham Hills and Hawkesbury,Metropolitan North,Western Sydney,-33.726635,150.999534,0
8400,St Ives High School,2075,Year 7 to Year 12,1123.0,57.0,15.594132029339853,15.0,Ku-ring-gai,Sydney - North Sydney and Hornsby,Metropolitan North,Northern Sydney,-33.740147,151.167078,0
